type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id
3;gimnázium;553404;113692;46,360724;17,792274;350;553404113692
3;gimnázium;730620;113454;46,360719;20,095047;350;730620113454
3;gimnázium;734155;100325;46,242188;20,138596;350;734155100325
3;gimnázium;735783;103224;46,268058;20,160236;350;735783103224
3;gimnázium;735535;103433;46,26997;20,157058;350;735535103433
3;gimnázium;735139;101187;46,249817;20,15151;350;735139101187
3;gimnázium;736129;103222;46,267996;20,164723;350;736129103222
3;gimnázium;734722;100938;46,247631;20,146058;350;734722100938
3;gimnázium;733738;100890;46,247322;20,133292;350;733738100890
3;gimnázium;734233;103218;46,268201;20,140131;350;734233103218
3;gimnázium;734159;101858;46,255977;20,138925;350;734159101858
3;gimnázium;735542;102295;46,259733;20,156939;350;735542102295
3;gimnázium;733254;101544;46,253265;20,127133;350;733254101544
3;gimnázium;735452;101874;46,255957;20,155695;350;735452101874
3;gimnázium;734233;103218;46,268201;20,140131;350;734233103218
3;gimnázium;735325;101860;46,255847;20,154045;350;735325101860
3;gimnázium;734335;100912;46,247445;20,141036;350;734335100912
3;gimnázium;734018;101993;46,257209;20,137121;350;734018101993
3;gimnázium;735455;102240;46,259249;20,155801;350;735455102240
3;gimnázium;735418;102243;46,259281;20,155322;350;735418102243
3;óvoda;739690;110869;46,336313;20,212387;120;739690110869
3;óvoda;545227;109873;46,325142;17,686905;120;545227109873
3;óvoda;566800;113123;46,357408;17,966423;120;566800113123
3;óvoda;542845;128800;46,495003;17,651587;120;542845128800
3;óvoda;566806;125005;46,464289;17,96436;120;566806125005
3;óvoda;535245;107294;46,300307;17,557949;120;535245107294
3;óvoda;741378;98381;46,223757;20,231852;120;74137898381
3;óvoda;742246;98143;46,221497;20,243053;120;74224698143
3;óvoda;742608;97857;46,218875;20,247688;120;74260897857
3;óvoda;733677;121719;46,434688;20,13626;120;733677121719
3;óvoda;723338;100685;46,246696;19,998417;120;723338100685
3;óvoda;750677;97628;46,215653;20,352196;120;75067797628
3;óvoda;560250;102281;46,259038;17,883429;120;560250102281
3;óvoda;570488;121870;46,436538;18,012831;120;570488121870
3;óvoda;542229;95578;46,19609;17,6513;120;54222995578
3;óvoda;545728;120644;46,422101;17,690981;120;545728120644
3;óvoda;564865;133077;46,536652;17,9376;120;564865133077
3;óvoda;534898;110786;46,331655;17,552579;120;534898110786
3;óvoda;548679;119037;46,408101;17,729716;120;548679119037
3;óvoda;539550;99297;46,229103;17,615718;120;53955099297
3;óvoda;543288;114189;46,363655;17,660736;120;543288114189
3;óvoda;546735;113695;46,359754;17,705631;120;546735113695
3;óvoda;552501;115156;46,373761;17,780234;120;552501115156
3;óvoda;552850;113970;46,363144;17,785018;120;552850113970
3;óvoda;553358;113429;46,358352;17,791731;120;553358113429
3;óvoda;554731;113361;46,357937;17,809583;120;554731113361
3;óvoda;552344;114168;46,364851;17,778402;120;552344114168
3;óvoda;553387;114211;46,36539;17,791945;120;553387114211
3;óvoda;551377;112867;46,353007;17,766115;120;551377112867
