type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id
3;általános iskola;734152;100777;46,246254;20,138639;367;3734152100777
3;általános iskola;737387;102768;46,263749;20,180954;367;3737387102768
3;általános iskola;734305;101237;46,250373;20,140706;367;3734305101237
3;általános iskola;733228;102215;46,259304;20,126916;367;3733228102215
3;általános iskola;735455;102240;46,259249;20,155801;367;3735455102240
3;gimnázium;735783;103224;46,268058;20,160236;298;3735783103224
3;gimnázium;734155;100325;46,242188;20,138596;298;3734155100325
3;gimnázium;735535;103433;46,26997;20,157058;298;3735535103433
3;gimnázium;735139;101187;46,249817;20,15151;298;3735139101187
3;gimnázium;736129;103222;46,267996;20,164723;298;3736129103222
3;gimnázium;734722;100938;46,247631;20,146058;298;3734722100938
3;gimnázium;733738;100890;46,247322;20,133292;298;3733738100890
3;gimnázium;734233;103218;46,268201;20,140131;298;3734233103218
3;gimnázium;734159;101858;46,255977;20,138925;298;3734159101858
3;gimnázium;735542;102295;46,259733;20,156939;298;3735542102295
3;gimnázium;733254;101544;46,253265;20,127133;298;3733254101544
3;gimnázium;735452;101874;46,255957;20,155695;298;3735452101874
3;gimnázium;734233;103218;46,268201;20,140131;298;3734233103218
3;gimnázium;735325;101860;46,255847;20,154045;298;3735325101860
3;gimnázium;734335;100912;46,247445;20,141036;298;3734335100912
3;gimnázium;735455;102240;46,259249;20,155801;298;3735455102240
3;gimnázium;735418;102243;46,259281;20,155322;298;3735418102243
3;szakközépiskola;734589;101197;46,249977;20,144381;211;3734589101197
3;szakközépiskola;735139;101187;46,249817;20,15151;211;3735139101187
3;szakközépiskola;734795;103226;46,268202;20,147422;211;3734795103226
3;szakközépiskola;734494;101573;46,253371;20,143217;211;3734494101573
3;szakközépiskola;735178;101770;46,255057;20,152123;211;3735178101770
3;szakközépiskola;733012;100254;46,241692;20,123765;211;3733012100254
3;szakközépiskola;735407;101807;46,25536;20,155099;211;3735407101807
3;szakközépiskola;731064;101384;46,252095;20,098708;211;3731064101384
3;szakközépiskola;734159;101858;46,255977;20,138925;211;3734159101858
3;szakközépiskola;734372;101338;46,251273;20,141593;211;3734372101338
3;szakközépiskola;733254;101544;46,253265;20,127133;211;3733254101544
3;szakközépiskola;733290;101543;46,253252;20,1276;211;3733290101543
3;szakközépiskola;735542;102295;46,259733;20,156939;211;3735542102295
3;szakközépiskola;735548;103490;46,270481;20,157237;211;3735548103490
3;szakközépiskola;735535;103433;46,26997;20,157058;211;3735535103433
3;szakközépiskola;733747;101587;46,253591;20,133534;211;3733747101587
3;szakközépiskola;734710;102002;46,257203;20,146096;211;3734710102002
3;szakközépiskola;732608;102007;46,25751;20,118839;211;3732608102007
3;szakközépiskola;736320;101170;46,249514;20,16682;211;3736320101170
3;szakközépiskola;735381;101970;46,25683;20,154792;211;3735381101970
3;szakközépiskola;734233;103218;46,268201;20,140131;211;3734233103218
3;szakközépiskola;737678;102225;46,258827;20,184626;211;3737678102225
3;szakközépiskola;735935;102127;46,258171;20,162005;211;3735935102127
3;szakközépiskola;736448;101005;46,248013;20,168449;211;3736448101005
3;szakközépiskola;735717;102157;46,258469;20,159183;211;3735717102157
3;szakközépiskola;735533;102253;46,259356;20,156815;211;3735533102253
3;szakközépiskola;736750;103664;46,271891;20,17286;211;3736750103664
3;szakközépiskola;734519;100339;46,242268;20,143317;211;3734519100339
3;szakközépiskola;734108;101251;46,250523;20,138154;211;3734108101251
3;szakközépiskola;735418;102243;46,259281;20,155322;211;3735418102243
3;szakközépiskola;734793;102366;46,260466;20,147239;211;3734793102366
3;szakközépiskola;733012;100254;46,241692;20,123765;211;3733012100254
3;szakközépiskola;734722;100938;46,247631;20,146058;211;3734722100938
