subtype;EOVX;EOVY;LAT;LON;poid;id;risk;essential;work_type;work_capacity;work_minage;work_maxage;vis_type;vis_capacity;vis_minage;vis_maxage
áruházlánc;734807;101873;46,25607201;20,14739946;106023;106023_119;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734825;101397;46,251746;20,147477;56340;56340_120;1;1;4;100;18;65;7;2000;0;99
áruházlánc;732707;100465;46,243627;20,119849;105881;105881_121;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734177;101655;46,254149;20,139122;147976;147976_122;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734177;101655;46,25419049;20,13919057;147982;147982_123;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735078;103017;46,266286;20,151054;35827;35827_124;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736562;104317;46,277789;20,170543;79032;79032_125;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735805;103749;46,272778;20,160618;79033;79033_126;1;1;4;100;18;65;7;2000;0;99
áruházlánc;728874;103750;46,273638;20,070713;79035;79035_127;1;1;4;100;18;65;7;2000;0;99
áruházlánc;737465;100420;46,242619;20,181524;79036;79036_128;1;1;4;100;18;65;7;2000;0;99
áruházlánc;733647;101487;46,252704;20,132219;79037;79037_129;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734309;102307;46,259997;20,140952;79039;79039_130;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734362;103801;46,273429;20,14191;79041;79041_131;1;1;4;100;18;65;7;2000;0;99
áruházlánc;732018;102438;46,261459;20,111264;162097;162097_132;1;1;4;100;18;65;7;2000;0;99
áruházlánc;728324;104577;46,281142;20,063718;162099;162099_133;1;1;4;100;18;65;7;2000;0;99
áruházlánc;733372;102573;46,262507;20,128848;162101;162101_134;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736206;103187;46,267671;20,165715;162095;162095_135;1;1;4;100;18;65;7;2000;0;99
áruházlánc;732549;101612;46,253964;20,118004;162096;162096_136;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734959;101222;46,250155;20,149183;182979;182979_137;1;1;4;100;18;65;7;2000;0;99
áruházlánc;732707;100465;46,243627;20,119849;114475;114475_138;1;1;4;100;18;65;7;2000;0;99
áruházlánc;733042;100545;46,244306;20,124206;91583;91583_139;1;1;4;100;18;65;7;2000;0;99
áruházlánc;733359;103025;46,266574;20,12876;211330;211330_140;1;1;4;100;18;65;7;2000;0;99
áruházlánc;731599;103128;46,267717;20,105951;80118;80118_141;1;1;4;100;18;65;7;2000;0;99
áruházlánc;732707;100465;46,243627;20,119849;181988;181988_142;1;1;4;100;18;65;7;2000;0;99
áruházlánc;729894;105411;46,288458;20,08423;161645;161645_143;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736775;99668;46,235944;20,172439;207831;207831_144;1;1;4;100;18;65;7;2000;0;99
áruházlánc;732707;100465;46,243627;20,119849;190288;190288_145;1;1;4;100;18;65;7;2000;0;99
áruházlánc;733359;103025;46,266574;20,12876;211379;211379_146;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736775;99668;46,235944;20,172439;211380;211380_147;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734177;101655;46,254149;20,139122;220467;220467_148;1;1;4;100;18;65;7;2000;0;99
atlétikai létesítmény;735520;101860;46,255823;20,156574;115953;115953_149;1;0;4;50;22;45;9;1000;6;49
autókereskedés;734653;103119;46,267257;20,145561;24852;24852_150;1;0;4;10;18;65;7;200;22;65
autókereskedés;736457;104781;46,281977;20,169268;204832;204832_151;1;0;4;10;18;65;7;200;22;65
autókereskedés;732684;101609;46,253921;20,119754;23963;23963_152;1;0;4;10;18;65;7;200;22;65
autókereskedés;734653;103119;46,267257;20,145561;24852;24852_153;1;0;4;10;18;65;7;200;22;65
autókereskedés;734550;103206;46,268053;20,14424;24746;24746_154;1;0;4;10;18;65;7;200;22;65
autókereskedés;736687;105346;46,287029;20,172357;24767;24767_155;1;0;4;10;18;65;7;200;22;65
autókereskedés;732684;101609;46,253921;20,119754;204799;204799_156;1;0;4;10;18;65;7;200;22;65
autókereskedés;736649;105384;46,287376;20,171871;89807;89807_157;1;0;4;10;18;65;7;200;22;65
autókereskedés;732309;102889;46,26548;20,115118;24542;24542_158;1;0;4;10;18;65;7;200;22;65
autókereskedés;733048;101912;46,256601;20,124528;24288;24288_159;1;0;4;10;18;65;7;200;22;65
autókereskedés;731323;103502;46,271115;20,102437;165297;165297_160;1;0;4;10;18;65;7;200;22;65
autókereskedés;736457;104781;46,281977;20,169268;24122;24122_161;1;0;4;10;18;65;7;200;22;65
autókereskedés;733048;101912;46,256601;20,124528;24288;24288_162;1;0;4;10;18;65;7;200;22;65
autókereskedés;731714;103026;46,266785;20,107425;89843;89843_163;1;0;4;10;18;65;7;200;22;65
autókereskedés;733048;101912;46,256601;20,124528;24288;24288_164;1;0;4;10;18;65;7;200;22;65
autókereskedés;736457;104781;46,281977;20,169268;204833;204833_165;1;0;4;10;18;65;7;200;22;65
autókereskedés;736649;105384;46,287376;20,171871;89807;89807_166;1;0;4;10;18;65;7;200;22;65
autókereskedés;732684;101609;46,253921;20,119754;204798;204798_167;1;0;4;10;18;65;7;200;22;65
autókereskedés;732309;102889;46,26548;20,115118;24542;24542_168;1;0;4;10;18;65;7;200;22;65
autókereskedés;734653;103119;46,267257;20,145561;24852;24852_169;1;0;4;10;18;65;7;200;22;65
autókereskedés;732252;102939;46,265937;20,114388;187817;187817_170;1;0;4;10;18;65;7;200;22;65
autókereskedés;736457;104781;46,281977;20,169268;204831;204831_171;1;0;4;10;18;65;7;200;22;65
