type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id;minage;maxage;;;;;;;;;;
2;panzió, fogadó;735739;102028;46,257306;20,159445;50;2735739102028;24;65;;;;;;;;;;
2;panzió, fogadó;734054;100835;46,246788;20,137379;50;2734054100835;24;65;;;;;;;;;;
2;panzió, fogadó;561503;108896;46,318706;17,898416;50;2561503108896;24;65;;;;;;;;;;
2;szálloda (hotel);564608;134230;46,54699;17,934036;200;2564608134230;18;65;;;;;;;;;;
2;szálloda (hotel);565077;133651;46,541842;17,940257;200;2565077133651;18;65;;;;;;;;;;
2;szálloda (hotel);565585;133545;46,540953;17,946899;200;2565585133545;18;65;;;;;;;;;;
2;szálloda (hotel);549217;113994;46,362822;17,737811;200;2549217113994;18;65;;;;;;;;;;
2;szálloda (hotel);553559;113270;46,356951;17,794376;200;2553559113270;18;65;;;;;;;;;;
2;szálloda (hotel);553059;113231;46,356527;17,787888;200;2553059113231;18;65;;;;;;;;;;
2;szálloda (hotel);553574;112972;46,354272;17,794633;200;2553574112972;18;65;;;;;;;;;;
2;szálloda (hotel);551936;135681;46,558296;17,768523;200;2551936135681;18;65;;;;;;;;;;
2;szálloda (hotel);734544;101165;46,249695;20,143792;200;2734544101165;18;65;;;;;;;;;;
2;szálloda (hotel);733742;102229;46,259366;20,133585;200;2733742102229;18;65;;;;;;;;;;
2;szálloda (hotel);735828;101419;46,251816;20,160486;200;2735828101419;18;65;;;;;;;;;;
2;szálloda (hotel);735550;101896;46,256143;20,15697;200;2735550101896;18;65;;;;;;;;;;
2;szálloda (hotel);735032;101588;46,253438;20,150196;200;2735032101588;18;65;;;;;;;;;;
2;szálloda (hotel);736126;101505;46,252552;20,164366;200;2736126101505;18;65;;;;;;;;;;
2;szálloda (hotel);732653;102786;46,264512;20,119561;200;2732653102786;18;65;;;;;;;;;;
2;szálloda (hotel);734377;102256;46,259529;20,141824;200;2734377102256;18;65;;;;;;;;;;
2;szálloda (hotel);733360;100563;46,244428;20,128332;200;2733360100563;18;65;;;;;;;;;;
2;szálloda (hotel);734978;101257;46,250468;20,149436;200;2734978101257;18;65;;;;;;;;;;
2;szálloda (hotel);735260;101794;46,255262;20,15319;200;2735260101794;18;65;;;;;;;;;;
2;szálloda (hotel);734459;100321;46,242114;20,142536;200;2734459100321;18;65;;;;;;;;;;
2;szálloda (hotel);731323;103502;46,271115;20,102437;200;2731323103502;18;65;;;;;;;;;;
2;szálloda (hotel);734494;101538;46,253056;20,143211;200;2734494101538;18;65;;;;;;;;;;
2;szálloda (hotel);734655;101575;46,253369;20,145305;200;2734655101575;18;65;;;;;;;;;;
2;szálloda (hotel);734908;101359;46,251394;20,148547;200;2734908101359;18;65;;;;;;;;;;
2;szálloda (hotel);734987;101223;46,250161;20,149546;200;2734987101223;18;65;;;;;;;;;;
2;szálloda (hotel);734879;101186;46,249841;20,148139;200;2734879101186;18;65;;;;;;;;;;
2;szálloda (hotel);735580;102046;46,257488;20,157386;200;2735580102046;18;65;;;;;;;;;;
2;szálloda (hotel);734658;100648;46,24503;20,145176;200;2734658100648;18;65;;;;;;;;;;
2;szálloda (hotel);734412;101098;46,249109;20,142068;200;2734412101098;18;65;;;;;;;;;;
2;szálloda (hotel);550485;100702;46,243455;17,757139;200;2550485100702;18;65;;;;;;;;;;
2;üdülőház;725150;103498;46,271776;20,022374;100;2725150103498;18;65;;;;;;;;;;
2;üdülőház;735735;101494;46,252503;20,159294;100;2735735101494;18;65;;;;;;;;;;
2;üdülőház;732653;102786;46,264512;20,119561;100;2732653102786;18;65;;;;;;;;;;
2;vendégház, apartman;544130;108225;46,31012;17,673043;50;2544130108225;18;65;;;;;;;;;;
2;vendégház, apartman;544525;110343;46,329259;17,677684;50;2544525110343;18;65;;;;;;;;;;
2;vendégház, apartman;546305;107969;46,308184;17,701327;50;2546305107969;18;65;;;;;;;;;;
2;vendégház, apartman;546895;110778;46,333541;17,70836;50;2546895110778;18;65;;;;;;;;;;
