type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id;minage;maxage;;;;;;;;;;
0;csomagpont;553119;113839;46,362005;17,788541;100;0553119113839;18;65;;;;;;;;;;
0;csomagpont;552775;113423;46,358213;17,784159;100;0552775113423;18;65;;;;;;;;;;
0;csomagpont;551496;115779;46,379217;17,767041;100;0551496115779;18;65;;;;;;;;;;
0;csomagpont;555363;114543;46,368659;17,817551;100;0555363114543;18;65;;;;;;;;;;
0;csomagpont;552490;113184;46,356022;17,780507;100;0552490113184;18;65;;;;;;;;;;
0;csomagpont;552505;114166;46,364857;17,780494;100;0552505114166;18;65;;;;;;;;;;
0;csomagpont;553061;113926;46,36275383;17,78777285;100;0553061113926;18;65;;;;;;;;;;
0;csomagpont;551323;115703;46,378508;17,764809;100;0551323115703;18;65;;;;;;;;;;
0;csomagpont;555363;114543;46,368659;17,817551;100;0555363114543;18;65;;;;;;;;;;
0;csomagpont;552490;113184;46,356022;17,780507;100;0552490113184;18;65;;;;;;;;;;
0;csomagpont;532553;116995;46,387092;17,520555;100;0532553116995;18;65;;;;;;;;;;
0;csomagpont;723258;94347;46,189694;19,996383;100;072325894347;18;65;;;;;;;;;;
0;csomagpont;723104;94343;46,189675;19,994388;100;072310494343;18;65;;;;;;;;;;
0;csomagpont;732067;114042;46,365832;20,113952;100;0732067114042;18;65;;;;;;;;;;
0;csomagpont;732548;102888;46,265442;20,118218;100;0732548102888;18;65;;;;;;;;;;
0;csomagpont;734256;101363;46,251512;20,140093;100;0734256101363;18;65;;;;;;;;;;
0;csomagpont;734514;100078;46,239921;20,143205;100;0734514100078;18;65;;;;;;;;;;
0;csomagpont;733359;103025;46,266574;20,12876;100;0733359103025;18;65;;;;;;;;;;
0;csomagpont;734177;101655;46,254149;20,139122;100;0734177101655;18;65;;;;;;;;;;
0;csomagpont;734177;101655;46,254149;20,139122;100;0734177101655;18;65;;;;;;;;;;
0;csomagpont;735527;103778;46,273074;20,157018;100;0735527103778;18;65;;;;;;;;;;
0;csomagpont;734119;103231;46,268332;20,138655;100;0734119103231;18;65;;;;;;;;;;
0;csomagpont;734119;103231;46,268332;20,138655;100;0734119103231;18;65;;;;;;;;;;
0;csomagpont;731446;103956;46,275183;20,104112;100;0731446103956;18;65;;;;;;;;;;
0;csomagpont;735546;102000;46,257079;20,156937;100;0735546102000;18;65;;;;;;;;;;
0;csomagpont;731353;103621;46,272181;20,102847;100;0731353103621;18;65;;;;;;;;;;
0;csomagpont;733285;102722;46,263858;20,127746;100;0733285102722;18;65;;;;;;;;;;
0;csomagpont;731838;102475;46,261814;20,108936;100;0731838102475;18;65;;;;;;;;;;
0;csomagpont;734177;101655;46,254149;20,139122;100;0734177101655;18;65;;;;;;;;;;
0;csomagpont;735038;102475;46,261416;20,150436;100;0735038102475;18;65;;;;;;;;;;
0;csomagpont;734683;101456;46,252295;20,145647;100;0734683101456;18;65;;;;;;;;;;
0;csomagpont;735577;102836;46,264594;20,157493;100;0735577102836;18;65;;;;;;;;;;
0;csomagpont;733720;100542;46,244194;20,132996;100;0733720100542;18;65;;;;;;;;;;
0;csomagpont;732707;100465;46,243627;20,119849;100;0732707100465;18;65;;;;;;;;;;
0;csomagpont;731750;103028;46,266799;20,107892;100;0731750103028;18;65;;;;;;;;;;
0;csomagpont;732650;101580;46,253664;20,119308;100;0732650101580;18;65;;;;;;;;;;
0;csomagpont;734177;101655;46,254149;20,139122;100;0734177101655;18;65;;;;;;;;;;
0;csomagpont;738037;98531;46,225553;20,188582;100;073803798531;18;65;;;;;;;;;;
0;csomagpont;734140;102024;46,257472;20,138709;100;0734140102024;18;65;;;;;;;;;;
0;csomagpont;736462;104676;46,281032;20,169313;100;0736462104676;18;65;;;;;;;;;;
0;csomagpont;737797;99735;46,236414;20,185699;100;073779799735;18;65;;;;;;;;;;
0;csomagpont;734695;101075;46,248866;20,145733;100;0734695101075;18;65;;;;;;;;;;
0;csomagpont;738918;102208;46,258511;20,200703;100;0738918102208;18;65;;;;;;;;;;
0;csomagpont;738672;98030;46,220963;20,196717;100;073867298030;18;65;;;;;;;;;;
0;csomagpont;728284;103831;46,274436;20,063073;100;0728284103831;18;65;;;;;;;;;;
0;csomagpont;736375;101285;46,250541;20,167554;100;0736375101285;18;65;;;;;;;;;;
0;csomagpont;734717;101802;46,255403;20,146151;100;0734717101802;18;65;;;;;;;;;;
0;csomagpont;734119;103231;46,268332;20,138655;100;0734119103231;18;65;;;;;;;;;;
0;csomagpont;733319;102203;46,259162;20,128101;100;0733319102203;18;65;;;;;;;;;;
0;csomagpont;735630;101913;46,256285;20,15801;100;0735630101913;18;65;;;;;;;;;;
0;csomagpont;736034;102058;46,257515;20,163282;100;0736034102058;18;65;;;;;;;;;;
0;csomagpont;731908;102531;46,262309;20,109854;100;0731908102531;18;65;;;;;;;;;;
0;csomagpont;734150;100867;46,247064;20,138629;100;0734150100867;18;65;;;;;;;;;;
0;csomagpont;736462;104676;46,281032;20,169313;100;0736462104676;18;65;;;;;;;;;;
0;csomagpont;732312;102931;46,265858;20,115164;100;0732312102931;18;65;;;;;;;;;;
0;csomagpont;734695;101075;46,248866;20,145733;100;0734695101075;18;65;;;;;;;;;;
0;csomagpont;736218;104039;46,275333;20,166029;100;0736218104039;18;65;;;;;;;;;;
0;csomagpont;735643;103074;46,266727;20,158393;100;0735643103074;18;65;;;;;;;;;;
0;csomagpont;735014;102055;46,257641;20,150048;100;0735014102055;18;65;;;;;;;;;;
0;csomagpont;736375;101285;46,250541;20,167554;100;0736375101285;18;65;;;;;;;;;;
0;csomagpont;733232;102127;46,258512;20,126953;100;0733232102127;18;65;;;;;;;;;;
0;csomagpont;728284;103831;46,274436;20,063073;100;0728284103831;18;65;;;;;;;;;;
0;csomagpont;738672;98030;46,220963;20,196717;100;073867298030;18;65;;;;;;;;;;
0;csomagpont;738918;102208;46,258511;20,200703;100;0738918102208;18;65;;;;;;;;;;
0;csomagpont;737625;94019;46,185022;20,182394;100;073762594019;18;65;;;;;;;;;;
0;határátkelő;726060;94885;46,194222;20,032762;1000;072606094885;22;65;;;;;;;;;;
0;határátkelő;722237;93173;46,179244;19,982978;1000;072223793173;22;65;;;;;;;;;;
0;határátkelő;731016;101483;46,252991;20,098103;1000;0731016101483;22;65;;;;;;;;;;
0;határátkelő;735547;101812;46,255387;20,156915;1000;0735547101812;22;65;;;;;;;;;;
0;határátkelő;732554;90980;46,158329;20,116185;1000;073255490980;22;65;;;;;;;;;;
0;határvédelmi szerv (határőr igazgatóság, határőrizeti kirendeltség);734130;101204;46,250098;20,138431;50;0734130101204;22;65;;;;;;;;;;
0;inkubátorház;554634;114230;46,36574;17,808143;100;0554634114230;22;65;;;;;;;;;;
0;inkubátorház;735440;100311;46,2419;20,155252;100;0735440100311;22;65;;;;;;;;;;
0;inkubátorház;730002;105203;46,286574;20,085595;100;0730002105203;22;65;;;;;;;;;;
0;konferencia központ;556323;137606;46,576243;17,825336;500;0556323137606;18;65;;;;;;;;;;
0;konferencia központ;553059;113231;46,356527;17,787888;500;0553059113231;18;65;;;;;;;;;;
