type;subtype;EOVX;EOVY;LAT;LON;capacity;poid;id;minage;maxage;risk
7;áruházlánc;733372;102573;46,262507;20,128848;2000;162101;733372102573;0;99;1
7;áruházlánc;736206;103187;46,267671;20,165715;2000;162095;736206103187;0;99;1
7;áruházlánc;732549;101612;46,253964;20,118004;2000;162096;732549101612;0;99;1
7;áruházlánc;734959;101222;46,250155;20,149183;2000;182979;734959101222;0;99;1
7;áruházlánc;732707;100465;46,243627;20,119849;2000;114475;732707100465;0;99;1
7;áruházlánc;733042;100545;46,244306;20,124206;2000;91583;733042100545;0;99;1
7;áruházlánc;733359;103025;46,266574;20,12876;2000;211330;733359103025;0;99;1
7;áruházlánc;731599;103128;46,267717;20,105951;2000;80118;731599103128;0;99;1
7;áruházlánc;732707;100465;46,243627;20,119849;2000;181988;732707100465;0;99;1
7;áruházlánc;729894;105411;46,288458;20,08423;2000;161645;729894105411;0;99;1
7;áruházlánc;736775;99668;46,235944;20,172439;2000;207831;73677599668;0;99;1
7;áruházlánc;732707;100465;46,243627;20,119849;2000;190288;732707100465;0;99;1
7;áruházlánc;733359;103025;46,266574;20,12876;2000;211379;733359103025;0;99;1
7;áruházlánc;736775;99668;46,235944;20,172439;2000;211380;73677599668;0;99;1
7;áruházlánc;734177;101655;46,254149;20,139122;2000;220467;734177101655;0;99;1
9;atlétikai létesítmény;735520;101860;46,255823;20,156574;1000;115953;735520101860;6;49;1
7;autókereskedés;734653;103119;46,267257;20,145561;200;24852;734653103119;22;65;1
7;autókereskedés;736457;104781;46,281977;20,169268;200;204832;736457104781;22;65;1
7;autókereskedés;732684;101609;46,253921;20,119754;200;23963;732684101609;22;65;1
7;autókereskedés;734653;103119;46,267257;20,145561;200;24852;734653103119;22;65;1
7;autókereskedés;734550;103206;46,268053;20,14424;200;24746;734550103206;22;65;1
7;autókereskedés;736687;105346;46,287029;20,172357;200;24767;736687105346;22;65;1
7;autókereskedés;732684;101609;46,253921;20,119754;200;204799;732684101609;22;65;1
7;autókereskedés;736649;105384;46,287376;20,171871;200;89807;736649105384;22;65;1
7;autókereskedés;732309;102889;46,26548;20,115118;200;24542;732309102889;22;65;1
7;autókereskedés;733048;101912;46,256601;20,124528;200;24288;733048101912;22;65;1
7;autókereskedés;731323;103502;46,271115;20,102437;200;165297;731323103502;22;65;1
7;autókereskedés;736457;104781;46,281977;20,169268;200;24122;736457104781;22;65;1
7;autókereskedés;733048;101912;46,256601;20,124528;200;24288;733048101912;22;65;1
7;autókereskedés;731714;103026;46,266785;20,107425;200;89843;731714103026;22;65;1
7;autókereskedés;733048;101912;46,256601;20,124528;200;24288;733048101912;22;65;1
7;autókereskedés;736457;104781;46,281977;20,169268;200;204833;736457104781;22;65;1
7;autókereskedés;736649;105384;46,287376;20,171871;200;89807;736649105384;22;65;1
7;autókereskedés;732684;101609;46,253921;20,119754;200;204798;732684101609;22;65;1
7;autókereskedés;732309;102889;46,26548;20,115118;200;24542;732309102889;22;65;1
7;autókereskedés;734653;103119;46,267257;20,145561;200;24852;734653103119;22;65;1
7;autókereskedés;732252;102939;46,265937;20,114388;200;187817;732252102939;22;65;1
7;autókereskedés;736457;104781;46,281977;20,169268;200;204831;736457104781;22;65;1
7;autókereskedés;734653;103119;46,267257;20,145561;200;24852;734653103119;22;65;1
7;autókereskedés;733048;101912;46,256601;20,124528;200;24288;733048101912;22;65;1
7;autókereskedés;731714;103026;46,266785;20,107425;200;89843;731714103026;22;65;1
7;autókereskedés;731908;102531;46,262309;20,109854;200;24555;731908102531;22;65;1
7;autókereskedés;732684;101609;46,253921;20,119754;200;137004;732684101609;22;65;1
7;autóklub;733132;102913;46,265595;20,125796;50;40643;733132102913;22;65;1
7;autóklub;733132;102913;46,265595;20,125796;50;187843;733132102913;22;65;1
8;autósiskola;733132;102913;46,265595;20,125796;100;78351;733132102913;18;28;1
8;autósiskola;734440;101827;46,255663;20,142563;100;78161;734440101827;18;28;1
8;autósiskola;734609;101130;46,249372;20,144628;100;78165;734609101130;18;28;1
8;autósiskola;734225;101680;46,254367;20,139749;100;78184;734225101680;18;28;1
8;autósiskola;735990;103049;46,266457;20,162888;100;78245;735990103049;18;28;1
8;autósiskola;735289;101924;46,256428;20,15359;100;78322;735289101924;18;28;1
8;autósiskola;734415;100963;46,247894;20,142082;100;78326;734415100963;18;28;1
8;autósiskola;734645;102416;46,260935;20,145329;100;78338;734645102416;18;28;1
8;autósiskola;735140;103241;46,268293;20,151899;100;78375;735140103241;18;28;1
8;autósiskola;734230;100880;46,247171;20,139669;100;78441;734230100880;18;28;1
8;autósiskola;736299;103142;46,267254;20,166913;100;78480;736299103142;18;28;1
8;autósiskola;735125;104116;46,276166;20,151865;100;78481;735125104116;18;28;1
