subtype;EOVX;EOVY;LAT;LON;poid;id;risk;essential;work_type;work_capacity;work_minage;work_maxage;st_type;st_capacity;st_minage;st_maxage
óvoda;732380;98802;46,228709;20,115315;109824;109824ovoda;1;2;4;19;22;65;3;70;3;6
óvoda;732723;100083;46,240189;20,119988;46627;46627ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;732765;102900;46,265523;20,121034;109854;109854ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;732863;103587;46,271691;20,122428;45559;45559ovoda;1;2;4;6;22;65;3;44;3;6
óvoda;733530;101247;46,25056;20,130659;109835;109835ovoda;1;2;4;13;22;65;3;72;3;6
óvoda;733599;100853;46,247007;20,131483;109834;109834ovoda;1;2;4;3;22;65;3;21;3;6
óvoda;733676;103204;46,268145;20,132904;109840;109840ovoda;1;2;4;13;22;65;3;95;3;6
óvoda;733856;101589;46,253595;20,134947;109808;109808ovoda;1;2;4;10;22;65;3;64;3;6
óvoda;733869;100021;46,239489;20,134833;109533;109533ovoda;1;2;4;20;22;65;3;126;3;6
óvoda;734152;100777;46,246254;20,138639;46719;46719ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;734205;100430;46,243126;20,139263;109532;109532ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;734238;102632;46,262929;20,14009;109844;109844ovoda;1;2;4;16;22;65;3;115;3;6
óvoda;734309;101096;46,249104;20,140732;109814;109814ovoda;1;2;4;14;22;65;3;96;3;6
óvoda;734324;100607;46,244703;20,140838;46274;46274ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;734349;100113;46,240257;20,141072;109833;109833ovoda;1;2;4;7;22;65;3;43;3;6
óvoda;734371;101721;46,254718;20,141649;109820;109820ovoda;1;2;4;10;22;65;3;67;3;6
óvoda;734402;101977;46,257017;20,142098;109816;109816ovoda;1;2;4;14;22;65;3;70;3;6
óvoda;734443;104130;46,276378;20,143021;109853;109853ovoda;1;2;4;20;22;65;3;163;3;6
óvoda;734504;102345;46,260314;20,143487;109858;109858ovoda;1;2;4;13;22;65;3;80;3;6
óvoda;734577;100655;46,245103;20,144127;44811;44811ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;734788;101169;46,2497;20,146956;109815;109815ovoda;1;2;4;20;22;65;3;121;3;6
óvoda;734898;103164;46,267631;20,148746;109842;109842ovoda;1;2;4;28;22;65;3;176;3;6
óvoda;734914;101903;46,256286;20,148724;46252;46252ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;734931;101267;46,250563;20,148828;109821;109821ovoda;1;2;4;10;22;65;3;58;3;6
óvoda;735171;102931;46,265501;20,152245;44778;44778ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;735209;104057;46,275624;20,152944;109851;109851ovoda;1;2;4;14;22;65;3;96;3;6
óvoda;735237;103463;46,270278;20,153198;109841;109841ovoda;1;2;4;28;22;65;3;205;3;6
óvoda;735247;102063;46,257683;20,153071;43597;43597ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;735455;102240;46,259249;20,155801;213988;213988ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;735535;100519;46,243758;20,156522;109831;109831ovoda;1;2;4;27;22;65;3;158;3;6
óvoda;735544;101054;46,24857;20,156737;109830;109830ovoda;1;2;4;34;22;65;3;214;3;6
óvoda;735734;102872;46,264898;20,159536;109391;109391ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;735769;103401;46,269652;20,160087;109850;109850ovoda;1;2;4;14;22;65;3;102;3;6
óvoda;735772;100393;46,242595;20,159571;109832;109832ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;735783;103224;46,268058;20,160236;34042;34042ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;736025;103848;46,27364;20,16349;109845;109845ovoda;1;2;4;14;22;65;3;81;3;6
óvoda;736081;102903;46,265133;20,164042;109846;109846ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;736208;102633;46,262688;20,165639;109823;109823ovoda;1;2;4;14;22;65;3;102;3;6
óvoda;736217;103157;46,2674;20,165853;109848;109848ovoda;1;2;4;20;22;65;3;135;3;6
óvoda;736222;103694;46,272229;20,166017;44118;44118ovoda;1;2;4;113;22;65;3;228;3;6
óvoda;736497;103234;46,268056;20,169499;109849;109849ovoda;1;2;4;4;22;65;3;79;3;6
